Brand	Product	Price per lb	Count	Notes
Farmer Focus	Organic Boneless Skinless Chicken Breast	$9.19	2-3ct
Springer Mountain Farms	Boneless Skinless Chicken Breasts, Raised w/o Antibiotics	$6.49	2-3ct
Farmer Focus	Organic Boneless Chicken Tenders	$12.29	10-12ct
Farmer Focus	Organic Boneless Skinless Thin-Sliced Chicken Breast	$13.99	4ct
Katie's Best	Boneless Skinless Chicken Breast, Value Pack, Air-Chilled, Raised w/o Antibiotics	$7.49	6ct
Smart Chicken	Organic Thin Sliced Chicken Breasts, Air-Chilled	$15.49	4ct
Springer Mountain Farms	Chicken Tenders, Raised w/o Antibiotics	$6.99	6-8ct
LaBelle Patrimoine	Boneless Skinless Chicken Breast, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled	$12.49
Smart Chicken	Organic Boneless Skinless Breasts, Air-Chilled	$13.49	2ct
Springer Mountain Farms	Boneless Skinless Chicken Breasts Value Pack, Raised w/o Antibiotics	$5.49	5-7ct
Springer Mountain Farms	Boneless Skinless Thin-Sliced Chicken Breasts, Raised w/o Antibiotics	$8.49	5-6ct
Katie's Best	Boneless Skinless Chicken Breasts, Air-Chilled, Raised w/o Antibiotics	$7.99	3ct
Katie's Best	Chicken Breast with Ribs, Air-Chilled, Raised w/o Antibiotics	$5.49	2ct
Empire Kosher	Chicken Breasts, Boneless and Skinless, Raised w/o Antibiotics	$10.49	2-3ct
FreshDirect	Breaded Parmesan Chicken Cutlet, Uncooked	$11.49	3-4ct
Springer Mountain Farms	Chicken Breasts with Ribs, Raised w/o Antibiotics	$5.49	2ct
Farmer Focus	Organic Boneless Skinless Chicken Breasts Value Pack	$8.99	each
Smart Chicken	Boneless Skinless Breasts, Air-Chilled, Raised Without Antibiotics	$8.99	each
FreshDirect	Breaded Chicken Cutlet, Uncooked	$11.49	3-4ct
Just FreshDirect	Lemon Herb Boneless Skinless Chicken Breasts, Raised w/o Antibiotics, Uncooked	$10.49
Just FreshDirect	Peruvian Boneless Skinless Chicken Breasts, Raised w/o Antibiotics, Uncooked	$9.49
	Bacon & Cheddar Chicken Rollups	$10.49	4-5ct
Smart Chicken	Boneless Skinless Thin-Sliced Chicken Breasts, Air-Chilled, Raised Without Antibiotics	$9.99	each
	Chicken Cordon Bleu	$12.49	2ct
	Broccoli & Cheddar Stuffed Chicken Breasts	$10.49	2ct
Just FreshDirect	Maple Dijon Boneless Skinless Chicken Breasts, Raised w/o Antibiotics, Uncooked	$9.49	2ct
	Roasted Red Pepper, Pepperoni & Mozzarella Chicken Rollups	$10.49	4-5ct
Smart Chicken	Organic Chicken Tenders, Air-Chilled, Raised Without Antibiotics	$14.99	each
Smart Chicken	Tenders, Air-Chilled, Raised Without Antibiotics	$9.49	each
	Boneless Skinless Chicken Breast, Case			Sold out
Farmer Focus	Organic Boneless Skinless Chicken Thighs	$8.29	4-5ct
Springer Mountain Farms	Boneless Skinless Chicken Thighs, Raised w/o Antibiotics	$5.59	5-6ct
Katie's Best	Bone-In Chicken Thighs, Air-Chilled, Raised w/o Antibiotics	$5.49	4ct
Springer Mountain Farms	Bone-In Chicken Thighs, Raised w/o Antibiotics	$3.99	4ct
Katie's Best	Boneless Skinless Chicken Thighs, Air-Chilled, Raised w/o Antibiotics	$6.99	4-5ct
Farmer Focus	Organic Chicken Wings	$6.49	10-12ct	Sale - Save 13%
Smart Chicken	Organic Boneless Skinless Thighs, Air-Chilled	$9.99	4ct
Springer Mountain Farms	Chicken Drumsticks, Raised w/o Antibiotics	$3.49	4-5ct
LaBelle Patrimoine	Bone-In Chicken Thigh, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled	$6.99
Smart Chicken	Organic Chicken Wings, Air Chilled	$7.49	approx. 10ct
Smart Chicken	Organic Whole Legs, Air-Chilled	$5.49	2ct
Katie's Best	Chicken Drumsticks & Thighs, Air-Chilled, Raised w/o Antibiotics	$4.99	2 drums, 2 thighs
Katie's Best	Whole Chicken Legs, Air-Chilled, Raised w/o Antibiotics	$4.49	2ct
Farmer Focus	Organic Chicken Wings, Party Pack, Frozen	$5.79	approx. 30-36ct	Sale - Save 17%
Katie's Best	Chicken Drumsticks, Air-Chilled, Raised w/o Antibiotics	$4.49	4-6ct
Empire Kosher	Chicken Leg Quarters, Raised w/o Antibiotics	$4.99	2-3ct
Empire Kosher	Bone-In Chicken Thighs with Back Portions, Raised w/o Antibiotics	$7.49	3-4ct
FreshDirect	Tikka-Marinated Chicken Thighs, Uncooked	$9.99	5-6ct
Empire Kosher	Chicken Drumsticks, Raised w/o Antibiotics	$5.99	approx. 6ct
LaBelle Patrimoine	Whole Chicken Wings, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled	$6.99
	Sweet Chili Boneless Chicken Thighs, Raised w/o Antibiotics, Uncooked	$8.99
Smart Chicken	Boneless Skinless Drumsticks, Air-Chilled, Raised Without Antibiotics	$4.99	each
Smart Chicken	Boneless Skinless Chicken Thighs, Air-Chilled, Raised Without Antibiotics	$7.99	each
Smart Chicken	Organic Boneless Skinless Drumsticks, Air-Chilled	$6.99	6ct
LaBelle Patrimoine	Chicken Drumsticks, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled			Sold out
Empire Kosher	Natural Boneless Skinless Chicken Thighs			Sold out
Farmer Focus	Organic Whole Chicken	$4.99
Katie's Best	Whole Chicken, Air-Chilled, Raised w/o Antibiotics	$4.49
LaBelle Patrimoine	Whole Chicken, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled	$5.99
Katie's Best	Cut-Up Whole Chicken, Air-Chilled, Raised w/o Antibiotics	$5.49	8ct
Springer Mountain Farms	Whole Chicken, Raised w/o Antibiotics	$3.49
Empire Kosher	Cut-Up Whole Chicken, Raised w/o Antibiotics	$4.99	8ct
Snowdance Farm	Local Heritage Slow-Growth Chicken, Air-Chilled, Raised w/o Antibiotics	$7.49
Empire Kosher	Broiler Chicken, Raised w/o Antibiotics	$4.99
Smart Chicken	Organic Whole Chicken, Air-Chilled	$6.49
Just FreshDirect	Lemon Herb Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Springer Mountain Farms	Whole Large Roasting Chicken, Raised w/o Antibiotics	$3.99
Just FreshDirect	Peruvian Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Just FreshDirect	Maple Dijon Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Smart Chicken	Party Wings, Air-Chilled, Raised Without Antibiotics	$6.99	each
Smart Chicken	Whole Chicken, Air-Chilled, Raised Without Antibiotics	$3.79	each
	Cornish Game Hens, Grade A, Fresh			Sold out
